study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
EUROPEPMC:42074987,needs_manual_extraction,PubMed,42074987,https://europepmc.org/article/MED/42074987,10.3390/nu18081174,42074987,postbiotic,Limosilactobacillus fermentum,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41814326,needs_manual_extraction,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41494682,needs_manual_extraction,PubMed,41494682,https://europepmc.org/article/MED/41494682,10.7570/jomes25045,41494682,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:42141362,needs_manual_extraction,PubMed,42141362,https://europepmc.org/article/MED/42141362,10.1002/oby.70224,42141362,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:41524907,needs_manual_extraction,PubMed,41524907,https://pubmed.ncbi.nlm.nih.gov/41524907/,10.1007/s00394-025-03873-w,41524907,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:41410576,needs_manual_extraction,PubMed,41410576,https://pubmed.ncbi.nlm.nih.gov/41410576/,10.1039/d5fo01687h,41410576,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06780007,needs_manual_extraction,ClinicalTrials.gov,NCT06780007,https://clinicaltrials.gov/study/NCT06780007,,,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT07515443,needs_manual_extraction,ClinicalTrials.gov,NCT07515443,https://clinicaltrials.gov/study/NCT07515443,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41455007,needs_manual_extraction,PubMed,41455007,https://europepmc.org/article/MED/41455007,10.1007/s12602-025-10885-9,41455007,needs_manual_extraction,,IL-27;BBr60,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:40987620,needs_manual_extraction,PubMed,40987620,https://europepmc.org/article/MED/40987620,10.1016/j.orcp.2025.08.010,40987620,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
