evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
NCT:NCT07400367,ClinicalTrials.gov,NCT07400367,"Impact of a Probiotic Supplementation With Lifestyle Modification on Liver Steatosis, Fibrosis, and Metabolic Health in Patients With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD)",primary_intervention,Probiotic product; Life style modification; placebo,12 weeks,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07386795,ClinicalTrials.gov,NCT07386795,The Efficacy and Safety of Microbiota Transplantation Combined With Prebiotics for Treatment of Functional Constipation,primary_intervention,FMT,,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:42091844,PubMed,42091844,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial.",primary_intervention,,6-month; 6 months; 1 month; 3 months,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:10.21203/rs.3.rs-8449196/v1,publisher supplementary data,10.21203/rs.3.rs-8449196/v1,"Probiotic Effect on Quality of Life, Bowel Habits and Weight Loss after Different Types of Bariatric Surgeries, a Randomized Controlled Trial",primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:42052391,PubMed,42052391,Distinct effects of a dairy probiotic drink and physical exercise on gut microbiota in pediatric acute lymphoblastic leukemia patients in remission: a randomized clinical trial.,primary_intervention,,8-week,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:41776555,PubMed,41776555,"Gut microbiota, a new approach to management of polycystic ovary syndrome: a systematic review, meta-analysis and meta-evidence of 26 randomized controlled trials.",primary_intervention,,8 weeks; 24 weeks,,,,,,,,,,,auto_prefill,pending,
PMID:42105359,PubMed,42105359,Monounsaturated Fatty Acid-Rich Foods and Gut Microbiota Composition: A Systematic Review of In Vivo Studies and Randomized Clinical Trials.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07097974,ClinicalTrials.gov,NCT07097974,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,primary_intervention,WM formula liquid drink; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06964932,ClinicalTrials.gov,NCT06964932,Probiotics in Obesity Management,primary_intervention,Probiotc; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06815926,ClinicalTrials.gov,NCT06815926,Clinical Trial to Evaluate the Effect of a Probiotic Product on Weight,primary_intervention,Probiotic; Placebo,12-weeks,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06987279,ClinicalTrials.gov,NCT06987279,Lactobacillus Plantarum and Hormonal Regulation in Obese Women,primary_intervention,Probiotic; Maltodextrin,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06901739,ClinicalTrials.gov,NCT06901739,Therapeutic Potential of a Synbiotic to Improve Mental Health in Subjects With Obesity.,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,auto_prefill,pending,
PMID:40951500,PubMed,40951500,Probiotic,primary_intervention,,,,2.11 μg; 0.71 μg,,,,,,,,,auto_prefill,pending,
PMID:40647296,PubMed,40647296,Impact of Probiotic/Synbiotic Supplementation on Post-Bariatric Surgery Anthropometric and Cardiometabolic Outcomes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,primary_intervention,,,,16.56 mg; 18.89 µg,,,,,,,,,auto_prefill,pending,
PMID:39940263,PubMed,39940263,Changes in Hormonal Profile and Body Mass Index in Women with Polycystic Ovary Syndrome After Probiotic Intake: A 12-Week Placebo-Controlled and Randomized Clinical Study.,primary_intervention,,12-Week; 12-week,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06722443,ClinicalTrials.gov,NCT06722443,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,primary_intervention,Probiotic; Prebiotic; Synbiotic,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT06192693,ClinicalTrials.gov,NCT06192693,Fecal Microbiota Transfer to Improve Diabetes Control Post-bariatric Surgery,primary_intervention,Capsulized fecal microbiota transfer containing the healthy feces + stool dilution solution; Capsulized placebo transfer containing dilution solution,6 months; 24 weeks; 6 weeks,,,,,,,,,,,auto_prefill,pending,
