evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
NCT:NCT03261466,ClinicalTrials.gov,NCT03261466,BIFI-OBESE: Clinical Trial in Paediatric Obesity,primary_intervention,Bifidobacterium breve BR03 and Bifidobacterium breve B632; Placebos,,,,,,,,,,,,supplement_queue,pending,
PMID:23614897,PubMed,23614897,Effect of Lactobacillus gasseri SBT2055 in fermented milk on abdominal adiposity in adults in a randomised controlled trial.,primary_intervention,,12 weeks; 4 weeks,,200 g,,,,,,,,,supplement_queue,pending,
NCT:NCT01620125,ClinicalTrials.gov,NCT01620125,Metabolic Control Before and After Supplementation With Lactobacillus Reuteri DSM 17938 in Type 2 Diabetes Patients,primary_intervention,Lactobacillus reuteri DSM 17938,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01724736,ClinicalTrials.gov,NCT01724736,A Pilot Study to Determine the Effect of a Cobiotic Formulation on the Gastrointestinal Microbiome,primary_intervention,Placebo; NM504:,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01106924,ClinicalTrials.gov,NCT01106924,Effects of a Probiotic on Body Weight,primary_intervention,Probiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01235026,ClinicalTrials.gov,NCT01235026,Synbiotics and Low Grade Inflammation in Obese Subjects,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT01249378,ClinicalTrials.gov,NCT01249378,Metabolic Impact of Fat Digestion,primary_intervention,All subjects receive three sequences of a standard breakfast,,,10 g; 40 g,,,,,,,,,supplement_queue,pending,
EUROPEPMC:42065141,PubMed,42065141,Effects of,primary_intervention,,12 weeks,,,,,,,,,,,supplement_queue,pending,
PMID:41930918,PubMed,41930918,Gut Microbiota and Metabolic Profiles Reveal the Mechanism of Weight Loss in Patients with Obesity Stimulated By Acupuncture.,primary_intervention,,8 weeks,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41444876,PubMed,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:40827948,PubMed,40827948,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.,primary_intervention,,24-week,1.0 x 10^7 CFU,10 mg/day,,,,,,,,,supplement_queue,pending,
PMID:41586244,PubMed,41586244,"The effects of a very low-energy ketogenic therapy on body composition, gut microbiota and metabolites in overweight subjects.",primary_intervention,,28 days,,,,,,,,,,,supplement_queue,pending,
PMID:36879442,PubMed,36879442,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:37181156,PubMed,37181156,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,primary_intervention,,10 weeks,,38 g; 20 g,,,,,,,,,supplement_queue,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",primary_intervention,,8-week,,,,,,,,,,,supplement_queue,pending,
PMID:31952249,PubMed,31952249,"Effects of Synbiotic Supplement on Human Gut Microbiota, Body Composition and Weight Loss in Obesity.",primary_intervention,,3-month,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41372103,PubMed,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,primary_intervention,,4 weeks,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41804549,PubMed,41804549,Unravelling the role of the gut microbiome in antipsychotic-induced weight gain and metabolic dysfunction in humans and rodents: A systematic review.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:42057790,PubMed,42057790,The impact of antibiotic exposure on obesity and metabolic phenotypes via the gut microbiota.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:41599863,PubMed,41599863,"Efficacy and Safety of CKDB-322, a Combination of",primary_intervention,,12-week,1.0 x 10^9 CFU,200 mg,,,,,,,,,supplement_queue,pending,
PMID:41743894,PubMed,41743894,Enteroendocrine hormones and gut microbiota in obesity: a systematic review from mechanistic insight to precision metabolic care.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:41835385,PubMed,41835385,Maternal overweight/obesity and yoghurt supplementation from early pregnancy to postpartum augments infant gut microbiota.,primary_intervention,,42 days; 3 months; 6 months,,,,,,,,,,,supplement_queue,pending,
PMID:41907517,PubMed,41907517,Obesity-associated gut microbiome influences diet-induced metabolic and cognitive outcomes in older adults.,primary_intervention,,10-week,,,,,,,,,,,supplement_queue,pending,
PMID:42010766,PubMed,42010766,Exercise intensity as a modulator of gut microbiota and host metabolic health in obesity.,primary_intervention,,16 weeks; 12 weeks,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:40851363,PubMed,40851363,The effect of probiotics on weight management in patients with severe obesity undergoing metabolic and bariatric surgery: a systematic review and meta-analysis.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41098558,PubMed,41098558,Postpartum Body Composition in Women With Overweight: Associations With Diet During Pregnancy.,primary_intervention,,6 months; 24 months,,1.9 g; 0.22 g,,,,,,,,,supplement_queue,pending,
PMID:39340527,PubMed,39340527,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis.",primary_intervention,,,,6.55 mg; 3.71 mg; 1.21 mg; 1.54 mg; 1.12 mg,,,,,,,,,supplement_queue,pending,
PMID:40732984,PubMed,40732984,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,primary_intervention,,6-month; 6 months,,,,,,,,,,,supplement_queue,pending,
PMID:41486934,PubMed,41486934,Synergistic anti-obesity effects of Bifidobacterium breve BR3 and Lactiplantibacillus plantarum LP3 via coordinated regulation of lipid metabolism and gut microbiota.,primary_intervention,,4 weeks,,,,,,,,,,,supplement_queue,pending,
PMID:38270436,PubMed,38270436,Dietary supplementation with probiotics promotes weight loss by reshaping the gut microbiome and energy metabolism in obese dogs.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:38744950,PubMed,38744950,"Effect of weight loss program using prebiotics and probiotics on body composition, physique, and metabolic products: longitudinal intervention study.",primary_intervention,,3 months,,,,,,,,,,,supplement_queue,pending,
PMID:39455650,PubMed,39455650,Effects of Lactiplantibacillus plantarum CBT LP3 and Bifidobacterium breve CBT BR3 supplementation on weight loss and gut microbiota of overweight dogs.,primary_intervention,,12-week,,3 g,,,,,,,,,supplement_queue,pending,
PMID:39520336,PubMed,39520336,Intermittent Fasting Improves Insulin Resistance by Modulating the Gut Microbiota and Bile Acid Metabolism in Diet-Induced Obesity.,primary_intervention,,12 weeks; 8 weeks,,,,,,,,,,,supplement_queue,pending,
PMID:36944956,PubMed,36944956,Effect of different doses of Lacticaseibacillus paracasei K56 on body fat and metabolic parameters in adult individuals with obesity: a pilot study.,primary_intervention,,60 days,2 x 10^7 CFU/day; 2 x 10^9 CFU/day; 2 x 10^10 CFU/day; 2 x 10^11 CFU/day; 109 CFU/day,,,,,,,,,,supplement_queue,pending,
PMID:37685493,PubMed,37685493,Exploring Gut Microbiota and the Influence of Physical Activity Interventions on Overweight and Obese Children and Adolescents: A Systematic Review.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:38068829,PubMed,38068829,Combating Obesity: Harnessing the Synergy of Postbiotics and Prebiotics for Enhanced Lipid Excretion and Microbiota Regulation.,primary_intervention,,12 weeks,,6.72 g; 5.25 g; 7.73 g,,,,,,,,,supplement_queue,pending,
PMID:34967874,PubMed,34967874,"Weight loss and high-protein, high-fiber diet consumption impact blood metabolite profiles, body composition, voluntary physical activity, fecal microbiota, and fecal metabolites of adult dogs.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:32718098,PubMed,32718098,"Modulation of the Gut Microbiota by Olive Oil Phenolic Compounds: Implications for Lipid Metabolism, Immune System, and Obesity.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:33178196,PubMed,33178196,Gut Microbiota as a Trigger for Metabolic Inflammation in Obesity and Type 2 Diabetes.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:32152146,PubMed,32152146,Genistein stimulates insulin sensitivity through gut microbiota reshaping and skeletal muscle AMPK activation in obese subjects.,primary_intervention,,2 months,,50 mg/day,,,,,,,,,supplement_queue,pending,
PMID:31126565,PubMed,31126565,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: A systematic review and meta-analysis.,primary_intervention,,16 weeks,,,,,,,,,,,supplement_queue,pending,
PMID:29547587,PubMed,29547587,Dietary Alteration of the Gut Microbiome and Its Impact on Weight and Fat Mass: A Systematic Review and Meta-Analysis.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:30468509,PubMed,30468509,"Probiotics, prebiotics and synbiotics for weight loss and metabolic syndrome in the microbiome era.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:10.21203/rs.3.rs-9134629/v1,publisher supplementary data,10.21203/rs.3.rs-9134629/v1,Blood drops to gut maps: dried blood spot metabolomics infers gut microbiome composition and guides probiotic intervention in metabolic disease,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:10.64898/2026.04.07.716956,publisher supplementary data,10.64898/2026.04.07.716956,Engineered Lactate Catabolizing Probiotics Reveal Timescale Dependent Microbiome-Host Metabolic Coupling,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41507594,PubMed,41507594,"Impact of probiotic, prebiotic, and synbiotic supplementation on the gut microbiome in older adults with sarcopenia, obesity, and sarcopenic obesity.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41576942,PubMed,41576942,"Gut microbiome and obesity care: Bridging dietary, surgical, and pharmacological interventions.",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
