subject_id,study_id,source_database,source_accession,source_url,publication_doi,publication_pmid,baseline_weight,post_weight,weight_change,weight_change_percent,baseline_BMI,post_BMI,BMI_change,waist_change,body_fat_change,TG_change,TC_change,LDL_change,HDL_change,FBG_change,FINS_change,HOMA_IR_change,inflammatory_marker_change,responder_label
needs_manual_extraction,PMID:36606510,PubMed,36606510,https://pubmed.ncbi.nlm.nih.gov/36606510/,10.1002/edm2.402,36606510,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:37084470,PubMed,37084470,https://pubmed.ncbi.nlm.nih.gov/37084470/,10.1016/j.clnu.2023.03.017,37084470,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:36793105,PubMed,36793105,https://pubmed.ncbi.nlm.nih.gov/36793105/,10.1186/s13063-023-07115-4,36793105,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:36484872,PubMed,36484872,https://pubmed.ncbi.nlm.nih.gov/36484872/,10.1007/s12519-022-00664-9,36484872,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:35487505,PubMed,35487505,https://pubmed.ncbi.nlm.nih.gov/35487505/,10.4093/dmj.2021.0370,35487505,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:36634870,PubMed,36634870,https://pubmed.ncbi.nlm.nih.gov/36634870/,10.1016/j.jand.2023.01.006,36634870,,,,,,,,needs_manual_extraction,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:37580231,PubMed,37580231,https://pubmed.ncbi.nlm.nih.gov/37580231/,10.1016/j.numecd.2023.07.030,37580231,,,,,,,,,needs_manual_extraction,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,NCT:NCT05623007,ClinicalTrials.gov,NCT05623007,https://clinicaltrials.gov/study/NCT05623007,,,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:36352899,PubMed,36352899,https://pubmed.ncbi.nlm.nih.gov/36352899/,10.3389/fnut.2022.1007506,36352899,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:34444671,PubMed,34444671,https://pubmed.ncbi.nlm.nih.gov/34444671/,10.3390/nu13082512,34444671,,,,,,,,,needs_manual_extraction,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:34358838,PubMed,34358838,https://pubmed.ncbi.nlm.nih.gov/34358838/,10.1016/j.clnu.2021.06.023,34358838,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:34434546,PubMed,34434546,https://pubmed.ncbi.nlm.nih.gov/34434546/,10.1016/j.amsu.2021.102548,34434546,,,needs_manual_extraction,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,https://clinicaltrials.gov/study/NCT04611477,,,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:32234652,PubMed,32234652,https://pubmed.ncbi.nlm.nih.gov/32234652/,10.1016/j.nut.2020.110749,32234652,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,https://clinicaltrials.gov/study/NCT04642482,,,,,,,,,,,,,,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,needs_manual_definition
needs_manual_extraction,PMID:30525950,PubMed,30525950,https://pubmed.ncbi.nlm.nih.gov/30525950/,10.3920/BM2018.0028,30525950,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,https://clinicaltrials.gov/study/NCT02893943,,,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,https://clinicaltrials.gov/study/NCT05423015,,,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:28730743,PubMed,28730743,https://pubmed.ncbi.nlm.nih.gov/28730743/,10.1002/mnfr.201700484,28730743,,,needs_manual_extraction,,,,,,,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:28792488,PubMed,28792488,https://pubmed.ncbi.nlm.nih.gov/28792488/,10.1038/ijo.2017.161,28792488,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
needs_manual_extraction,PMID:27810310,PubMed,27810310,https://pubmed.ncbi.nlm.nih.gov/27810310/,10.1016/j.ebiom.2016.10.036,27810310,,,needs_manual_extraction,,,,,,needs_manual_extraction,,,,,,,,,needs_manual_definition
