species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Faecalibacterium_prausnitzii,Faecalibacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.031,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000154385.1,Scaffold,Faecalibacterium prausnitzii M21/2
Coprococcus_catus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0274,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_019734885.1,Scaffold,Pseudocoprococcus catus
Oscillibacter_sp_57_20,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0244,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Hungatella_hathewayi,Hungatella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0235,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025149285.1,Complete Genome,Hungatella hathewayi
Megamonas_funiformis,Megamonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0227,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_010669225.1,Complete Genome,Megamonas funiformis
Bifidobacterium_catenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.022,1.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025195.1,Complete Genome,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
Bacteroides_massiliensis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0217,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000382445.1,Scaffold,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
Clostridium_sp_CAG_242,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Rothia_mucilaginosa,Rothia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000175615.1,Contig,Rothia mucilaginosa ATCC 25296
Firmicutes_bacterium_CAG_110,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Bifidobacterium_pseudocatenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0188,1.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025215.1,Complete Genome,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
Firmicutes_bacterium_CAG_95,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0175,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Alistipes_finegoldii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0172,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_027677115.1,Scaffold,Alistipes finegoldii
Bacteroides_stercoris,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0168,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000154525.1,Scaffold,Bacteroides stercoris ATCC 43183
Alistipes_putredinis,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0139,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000154465.1,Scaffold,Alistipes putredinis DSM 17216
Bacteroides_caccae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0138,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018292205.1,Complete Genome,Bacteroides caccae CL03T12C61
Bacteroides_dorei,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0131,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_013009555.1,Complete Genome,Phocaeicola dorei
Clostridium_spiroforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.013,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025149465.1,Complete Genome,Thomasclavelia spiroformis DSM 1552
Bacteroides_ovatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0121,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_001314995.1,Complete Genome,Bacteroides ovatus
Enorma_massiliensis,Enorma,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.012,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000311845.1,Scaffold,Enorma massiliensis phI
Ruminococcus_gnavus,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0119,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_009831375.1,Complete Genome,Mediterraneibacter gnavus ATCC 29149
Dorea_formicigenerans,Dorea,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0116,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025150245.1,Complete Genome,Dorea formicigenerans
Roseburia_sp_CAG_309,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0101,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
Erysipelatoclostridium_ramosum,Erysipelatoclostridium,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0092,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_016728785.1,Complete Genome,Thomasclavelia ramosa
Bacteroides_thetaiotaomicron,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_014131755.1,Complete Genome,Bacteroides thetaiotaomicron
Bacteroides_galacturonicus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_003096855.1,Scaffold,Bacteroides galacturonicus
Victivallis_vadensis,Victivallis,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_003096415.1,Scaffold,Victivallis vadensis
Coprococcus_eutactus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025149915.1,Complete Genome,Coprococcus eutactus
Parasutterella_excrementihominis,Parasutterella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0083,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000205025.1,Scaffold,Parasutterella excrementihominis YIT 11859
Parabacteroides_merdae,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0074,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_900445495.1,Contig,Parabacteroides merdae
Prevotella_sp_CAG_279,Prevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0074,,,,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
