evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url
PMID:27810310,PubMed,27810310,10.1016/j.ebiom.2016.10.036,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",2016,literature,high,3,randomized_controlled_trial,probiotic,,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/27810310/
PMID:27221805,PubMed,27221805,10.3402/mehd.v27.30312,27221805,Effect of fragmented Lactobacillus amylovorus CP1563 on lipid metabolism in overweight and mildly obese individuals: a randomized controlled trial.,2016,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;lipid,true,https://pubmed.ncbi.nlm.nih.gov/27221805/
PMID:24795503,PubMed,24795503,10.1155/2014/348959,24795503,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial.",2014,literature,high,3,randomized_controlled_trial,probiotic,,weight;lipid;glucose,true,https://pubmed.ncbi.nlm.nih.gov/24795503/
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,,,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,2013,clinical_trial,high,3,clinical_trial_registry,prebiotic,,weight,true,https://clinicaltrials.gov/study/NCT02217579
NCT:NCT01433120,ClinicalTrials.gov,NCT01433120,,,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,2011,clinical_trial,high,3,clinical_trial_registry,,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT01433120
NCT:NCT01004120,ClinicalTrials.gov,NCT01004120,,,Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults,2009,clinical_trial,high,3,clinical_trial_registry,prebiotic,,weight;glucose,true,https://clinicaltrials.gov/study/NCT01004120
NCT:NCT07517757,ClinicalTrials.gov,NCT07517757,,,Dietary Strategies for the Treatment of Fibromyalgia in Overweight and Obese Patients,2026,clinical_trial,high,2,clinical_trial_registry,,,weight,true,https://clinicaltrials.gov/study/NCT07517757
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,,,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,2026,clinical_trial,high,2,clinical_trial_registry,,,glucose,true,https://clinicaltrials.gov/study/NCT07593170
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,,,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",2026,clinical_trial,high,2,clinical_trial_registry,,,glucose,true,https://clinicaltrials.gov/study/NCT07559227
NCT:NCT07507929,ClinicalTrials.gov,NCT07507929,,,Probiotic for Weight Management in Overweight and Obese Adults,2026,clinical_trial,high,2,clinical_trial_registry,probiotic,,weight,true,https://clinicaltrials.gov/study/NCT07507929
EUROPEPMC:41814326,PubMed,41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,literature,high,2,randomized_controlled_trial,synbiotic,,glucose,true,https://europepmc.org/article/MED/41814326
EUROPEPMC:41494682,PubMed,41494682,10.7570/jomes25045,41494682,The Effects of Probiotic Yogurt and Resistance Training on Body Composition and Metabolic Parameters in Post-bariatric Surgery Patients: A Randomized Controlled Trial.,2026,literature,high,2,randomized_controlled_trial,probiotic,,body_composition;glucose,true,https://europepmc.org/article/MED/41494682
EUROPEPMC:42120725,PubMed,42120725,10.1038/s41591-026-04394-7,42120725,Pasteurized Akkermansia muciniphila Muc<sup>T</sup> for weight loss maintenance in people with overweight and obesity: a controlled randomized trial.,2026,literature,high,2,randomized_controlled_trial,,Akkermansia,weight,true,https://europepmc.org/article/MED/42120725
EUROPEPMC:41938967,PubMed,41938967,10.3389/fpubh.2026.1767108,41938967,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,2026,literature,high,2,meta_analysis_or_systematic_review,probiotic,,weight,true,https://europepmc.org/article/MED/41938967
EUROPEPMC:41921070,PubMed,41921070,10.1093/lambio/ovag041,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,2026,literature,high,2,review,probiotic,,BMI,true,https://europepmc.org/article/MED/41921070
EUROPEPMC:42074987,PubMed,42074987,10.3390/nu18081174,42074987,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of <i>Limosilactobacillus fermentum</i> K8-Lb1 Postbiotic on Weight Management and Metabolic Health Outcomes.",2026,literature,high,2,randomized_controlled_trial,postbiotic,Limosilactobacillus,weight;glucose,true,https://europepmc.org/article/MED/42074987
EUROPEPMC:42197276,PubMed,42197276,10.3390/molecules31101722,42197276,"Combined Probiotic <i>Lactiplantibacillus plantarum</i> ECGC 13110402 and Plant Sterol Supplement May Improve Lipids and Gut Microbiota in Coeliac Adults: A Randomised, Placebo-Controlled Pilot Human Intervention Study.",2026,literature,high,2,randomized_controlled_trial,probiotic,Lactiplantibacillus,lipid;microbiome,true,https://europepmc.org/article/MED/42197276
EUROPEPMC:42141362,PubMed,42141362,10.1002/oby.70224,42141362,Effect of Sevelamer and B. longum on Insulin Sensitivity in Participants With Obesity: A Randomized Clinical Trial.,2026,literature,high,2,randomized_controlled_trial,,,glucose,true,https://europepmc.org/article/MED/42141362
PMID:41524907,PubMed,41524907,10.1007/s00394-025-03873-w,41524907,A multifaceted lifestyle program for weight loss in overweight adults: evidence from a randomised clinical trial.,2026,literature,high,2,randomized_controlled_trial,,,weight,true,https://pubmed.ncbi.nlm.nih.gov/41524907/
PMID:42142662,PubMed,42142662,10.1016/j.tjnut.2026.101595,42142662,"The Effects of a Powdered Meal Replacement on Inflammation, Gut Microbiota, and Metabolism in People With Excess Body Weight-A Randomized Controlled Trial.",2026,literature,high,2,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42142662/
PMID:42097279,PubMed,42097279,10.1016/j.ajcnut.2026.101340,42097279,Gut microbiota responses to isocaloric macronutrient modulation in tissue-specific insulin resistance: a secondary analysis of the PERSonalized glucose Optimization through Nutritional intervention (PERSON) randomized trial.,2026,literature,high,2,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/42097279/
