run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13914790,SAMEA116333255,2023_0028_0105,0105,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/090/ERR13914790/ERR13914790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/090/ERR13914790/ERR13914790_2.fastq.gz,1566172963;1605818240,2023
ERR13914791,SAMEA116333263,2023_0028_0113,0113,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/091/ERR13914791/ERR13914791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/091/ERR13914791/ERR13914791_2.fastq.gz,1535635189;1574785667,2023
ERR13914793,SAMEA116333264,2023_0028_0114,0114,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/093/ERR13914793/ERR13914793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/093/ERR13914793/ERR13914793_2.fastq.gz,1838159648;1878609740,2023
ERR13914794,SAMEA116333265,2023_0028_0115,0115,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/094/ERR13914794/ERR13914794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/094/ERR13914794/ERR13914794_2.fastq.gz,1562501110;1618679913,2023
ERR13914795,SAMEA116333267,2023_0028_0117,0117,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/095/ERR13914795/ERR13914795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/095/ERR13914795/ERR13914795_2.fastq.gz,1621961496;1664060622,2023
ERR13914797,SAMEA116333268,2023_0028_0118,0118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/097/ERR13914797/ERR13914797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/097/ERR13914797/ERR13914797_2.fastq.gz,1729443242;1762895787,2023
ERR13915048,SAMEA116333269,2023_0028_0119,0119,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13915048/ERR13915048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13915048/ERR13915048_2.fastq.gz,1471365622;1497838606,2023
ERR13915050,SAMEA116333270,2023_0028_0120,0120,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13915050/ERR13915050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13915050/ERR13915050_2.fastq.gz,1828764636;1874721932,2023
ERR13915052,SAMEA116333271,2023_0028_0121,0121,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13915052/ERR13915052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13915052/ERR13915052_2.fastq.gz,1650258339;1683860417,2023
ERR13915054,SAMEA116333273,2023_0028_0123,0123,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13915054/ERR13915054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13915054/ERR13915054_2.fastq.gz,1836645471;1904311040,2023
